TB3Y,TB5Y
11.94,11.23
12.01,11.4
11.92,11.4
11.04,10.93
11.01,10.91
11.51,11.39
11.85,11.67
12.27,12.08
12.19,12.11
12.08,11.93
12.12,11.93
12.19,12.12
12.17,12.13
12.1,11.98
12.32,12.12
12.4,12.2
12.4,12.2
11.72,11.68
11.65,11.7
11.65,11.7
11.65,11.7
11.65,11.7
12.4,12.23
14.96,14.7
15,16.65
15,16.6
15.09,16.58
17.13,16.08
16.86,16.06
15.04,14.59
12.57,12.24
11.72,11.59
11.84,11.87
9.4,9.7
8.34,8.7
7.23,7.5
6.67,7.49
7.08,8.4
6.81,8.1
6.37,7.09
6.75,7.97
6.88,7.92
7.89,8.44
8.91,9.3
9.33,9.81
8.28,9.1
8.46,9.57
8.85,9.94
9.28,10.02
8.99,9.54
9.06,9.54
8.95,9.3
8.96,9.29
8.66,8.95
8,8.28
7.85,8.17
7.96,8.31
7.84,8.19
7.31,7.56
6.79,6.92
5.99,6.2
5.43,5.76
5.84,6.4
6.59,7.24
6.46,7.05
6.04,6.49
5.75,6.17
5.15,5.43
4.89,5.21
4.74,5.65
5.34,6.2
5.93,6.66
6.08,6.85
5.92,6.66
6.3,6.97
6.47,7.06
6.3,6.8
5.93,6.33
5.7,6.11
5.37,5.79
5.37,5.77
5.39,5.71
5.29,5.52
5.28,5.57
4.96,5.15
4.73,4.89
4.78,4.94
4.6,4.77
4.27,4.41
4.07,4.19
4.37,4.63
4.62,4.93
4.25,4.46
4.28,4.53
4.77,5.08
4.87,5.13
4.88,5.16
4.83,5.13
4.58,4.88
4.54,4.88
4.39,4.75
4.28,4.58
4.19,4.47
3.82,4.01
3.59,3.75
3.54,3.67
3.42,3.53
3.28,3.39
3.65,3.89
4.19,4.47
4.04,4.29
3.86,4.11
3.71,3.89
3.79,3.97
4.12,4.39
4.33,4.67
4.52,4.81
4.81,5.06
5.1,5.39
5.06,5.33
5.02,5.29
4.87,5.03
4.93,5.13
4.95,5.16
4.78,4.93
4.89,5.03
4.89,5
4.77,4.83
4.69,4.76
4.62,4.67
4.72,4.79
4.82,4.88
4.97,5
4.91,4.94
4.79,4.82
4.94,4.96
5.1,5.13
5.24,5.35
5.35,5.43
5.28,5.33
5.39,5.44
5.42,5.49
5.54,5.59
5.89,5.9
5.44,5.51
5.06,5.14
5.15,5.2
4.98,5.02
5.28,5.36
5.7,5.8
5.96,6.02
5.77,5.83
5.81,5.86
5.09,5.16
4.97,5.17
3.97,4.3
3.44,3.97
3.78,4.6
3.69,4.49
3.76,4.43
3.83,4.53
4.09,4.72
4.09,4.61
4.42,4.91
4.4,4.85
4.47,4.91
4.32,4.84
4.24,4.76
4.29,4.84
4.19,4.76
3.94,4.47
3.77,4.44
3.7,4.41
3.75,4.41
3.88,4.45
3.73,4.27
3.48,3.91
3.24,3.66
3.4,4.03
3.25,4.02
3.71,4.3
3.94,4.41
3.74,4.13
3.74,4.1
3.66,3.97
3.65,3.92
3.77,3.98
3.57,3.73
3.45,3.56
3.47,3.6
3.39,3.53
3.36,3.51
3.37,3.5
3.43,3.55
3.55,3.69
3.5,3.64
3.38,3.49
3.29,3.41
3.01,3.12
2.83,2.94
2.81,2.89
2.78,2.85
2.8,2.87
2.85,2.98
2.75,2.86
2.7,2.83
2.6,2.69
2.55,2.63
2.59,2.68
2.87,3.08
2.91,3.18
2.94,3.26
2.9,3.17
2.83,3.08
2.936,3.237
2.941,3.299
2.892,3.258
2.854,3.161
2.874,3.169
2.875,3.168
2.838,3.082
2.746,2.972
2.558,2.765
2.54,2.773
2.405,2.649
2.239,2.42
2.138,2.325
2.143,2.337
2.039,2.158
2.024,2.116
1.865,1.969
1.739,1.857
1.875,2.11
1.773,2.04
1.777,2.048
1.735,1.946
1.651,1.846
1.627,1.784
1.752,1.945
1.719,1.902
1.628,1.772
1.474,1.586
1.498,1.611
1.468,1.569
1.455,1.551
1.334,1.406
1.218,1.246
1.238,1.264
1.312,1.353
1.361,1.412
1.609,1.739
1.692,1.873
1.643,1.821
1.665,1.861
1.709,1.909
1.678,1.859
1.69,1.906
1.673,1.864
1.74,1.942
1.78,1.987
1.785,1.989
2.026,2.247
2.15,2.355
2.1,2.298
2.19,2.444
2.277,2.537
2.271,2.501
2.192,2.436
2.25,2.532
2.175,2.442
2.097,2.338
2.019,2.242
1.953,2.128
2.01,2.164
1.94,2.048
1.825,1.893
1.807,1.879
1.802,1.869
1.789,1.838
1.736,1.771
1.679,1.716
1.496,1.53
1.382,1.421
1.164,1.201
1.287,1.353
1.357,1.442
1.492,1.593
1.39,1.481
1.373,1.479
1.253,1.357
1.091,1.266
1.024,1.26
0.878,1.129
0.85,1.127
0.826,1.094
0.829,1.092
0.908,1.194
0.91,1.196
0.965,1.295
0.97,1.323
0.975,1.316
0.995,1.348
1.133,1.55
1.138,1.577
1.134,1.647
1.302,1.701
1.419,1.686
1.411,1.653
1.515,1.786
1.842,2.154
1.953,2.174
1.8,1.981
2.06,2.279
2.285,2.495
2.369,2.6
2.941,3.14
3.019,3.227
3.477,3.651
